Liuk Del Valun - 14/07/2022 17:30:31 | Bot
Liuk Del Valun - 14/07/2022 17:33:51 | Command "fhfh" is not found
Liuk Del Valun - 14/07/2022 17:33:58 | Command "uejbd" is not found
Liuk Del Valun - 14/07/2022 17:40:20 | Command "ooshs" is not found
Liuk Del Valun - 14/07/2022 17:41:47 | Command "hgsv" is not found
Liuk Del Valun - 14/07/2022 18:57:27 | A required argument is missing: 'query'
Liuk Del Valun - 14/07/2022 18:57:28 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=None chunked=True member_count=2>>)
Liuk Del Valun - 14/07/2022 18:57:29 | You are on cooldown. Try again in 0.84s
Liuk Del Valun - 14/07/2022 19:00:29 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=None chunked=True member_count=2>>)
Liuk Del Valun - 14/07/2022 19:00:34 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=None chunked=True member_count=2>>)
Liuk Del Valun - 14/07/2022 19:00:37 | You are on cooldown. Try again in 0.17s
Liuk Del Valun - 14/07/2022 19:02:57 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=None chunked=True member_count=2>>)
Liuk Del Valun - 14/07/2022 19:03:00 | You are on cooldown. Try again in 0.32s
Liuk Del Valun - 14/07/2022 20:53:35 | Command raised an exception: TypeError: exceptions must derive from BaseException
Liuk Del Valun - 14/07/2022 21:01:53 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=None chunked=True member_count=2>>)
Liuk Del Valun - 14/07/2022 21:02:31 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=None chunked=True member_count=2>>)
Liuk Del Valun - 14/07/2022 21:06:26 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=None chunked=True member_count=2>>)
Liuk Del Valun - 14/07/2022 21:10:08 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=None chunked=True member_count=2>>)
Liuk Del Valun - 14/07/2022 21:10:19 | Bot
Liuk Del Valun - 14/07/2022 21:11:18 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=None chunked=True member_count=2>>)
Liuk Del Valun - 14/07/2022 21:11:37 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=None chunked=True member_count=2>>)
Liuk Del Valun - 14/07/2022 21:12:13 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=None chunked=True member_count=2>>)
Liuk Del Valun - 14/07/2022 21:13:03 | ('query', <Member id=722922053384142879 name='Liuk Del Valun' discriminator='3966' bot=False nick=None guild=<Guild id=938399497795538974 name='Cazzi miei' shard_id=None chunked=True member_count=2>>)
Liuk Del Valun - 15/07/2022 15:01:23 | Command raised an exception: AttributeError: 'CustomHelpCommand' object has no attribute 'prefix'
Liuk Del Valun - 06/08/2022 17:40:09 | Command raised an exception: RuntimeError: PyNaCl library needed in order to use voice
Liuk Del Valun - 06/08/2022 17:43:31 | Command raised an exception: TypeError: 'NoneType' object is not subscriptable
Liuk Del Valun - 06/08/2022 17:49:20 | Command raised an exception: TypeError: TooLongVideo.__init__() missing 2 required positional arguments: 'title' and 'duration'
Liuk Del Valun - 06/08/2022 17:53:23 | Command raised an exception: IndexError: list index out of range
Liuk Del Valun - 23/08/2022 18:12:05 | volume is a required argument that is missing.
Liuk Del Valun - 23/08/2022 18:12:55 | volume is a required argument that is missing.
Liuk Del Valun - 23/08/2022 19:17:55 | Command raised an exception: TypeError: can only concatenate list (not "dict") to list
Liuk Del Valun - 23/08/2022 19:21:29 | Command raised an exception: TypeError: 'NoneType' object is not subscriptable
Liuk Del Valun - 23/08/2022 20:03:06 | Command raised an exception: TypeError: 'NoneType' object is not subscriptable
Liuk Del Valun - 23/08/2022 20:04:37 | Command raised an exception: TypeError: 'NoneType' object is not subscriptable
Liuk Del Valun - 23/08/2022 20:04:46 | Command raised an exception: TypeError: 'NoneType' object is not subscriptable
